time, position 
0.0,955 
0.1,865 
0.2,800 
0.3,748 
0.4,705 
0.5,685 
0.6,687 
0.7,685 
0.8,689 
0.9,691 
1.0,702 
1.1,707 
1.2,709 
1.3,695 
1.4,687 
1.5,687 
1.6,759 
1.7,1166 
1.8,1629 
1.9,1774 
2.0,1509 
2.1,1012 
2.2,692 
2.3,825 
2.4,1312 
2.5,1757 
2.6,1829 
2.7,1480 
2.8,929 
2.9,615 
3.0,802 
3.1,1351 
3.2,1822 
3.3,1901 
3.4,1553 
3.5,976 
3.6,617 
3.7,761 
3.8,1286 
3.9,1769 
4.0,1874 
4.1,1558 
4.2,1017 
4.3,673 
4.4,797 
4.5,1270 
4.6,1699 
4.7,1766 
4.8,1443 
4.9,967 
5.0,731 
5.1,925 
5.2,1378 
5.3,1710 
5.4,1669 
5.5,1281 
5.6,849 
5.7,739 
5.8,1050 
5.9,1534 
6.0,1796 
6.1,1655 
6.2,1186 
6.3,744 
6.4,695 
6.5,1093 
6.6,1621 
6.7,1873 
6.8,1705 
6.9,1201 
7.0,729 
7.1,667 
7.2,1063 
7.3,1599 
7.4,1865 
7.5,1711 
7.6,1230 
7.7,773 
7.8,703 
7.9,1065 
8.0,1551 
8.1,1780 
8.2,1609 
8.3,1164 
8.4,800 
8.5,812 
8.6,1176 
8.7,1584 
8.8,1705 
8.9,1452 
9.0,1023 
9.1,776 
9.2,922 
9.3,1341 
9.4,1687 
9.5,1689 
9.6,1333 
9.7,886 
9.8,718 
9.9,979 
10.0,1466 
10.1,1790 
10.2,1727 
10.3,1303 
10.4,820 
10.5,669 
10.6,976 
10.7,1498 
10.8,1826 
10.9,1753 
11.0,1321 
11.1,835 
11.2,681 
11.3,975 
11.4,1472 
11.5,1778 
11.6,1695 
11.7,1284 
11.8,857 
11.9,757 
12.0,1050 
12.1,1485 
12.2,1709 
12.3,1563 
12.4,1164 
12.5,841 
12.6,859 
12.7,1200 
12.8,1573 
12.9,1673 
13.0,1421 
13.1,1013 
13.2,788 
13.3,941 
13.4,1354 
13.5,1689 
13.6,1681 
13.7,1329 
13.8,892 
13.9,727 
14.0,979 
14.1,1454 
14.2,1774 
14.3,1714 
14.4,1306 
14.5,842 
14.6,694 
14.7,982 
14.8,1476 
14.9,1786 
15.0,1709 
15.1,1293 
15.2,847 
15.3,723 
15.4,1011 
15.5,1472 
15.6,1738 
15.7,1629 
15.8,1234 
15.9,861 
16.0,811 
16.1,1111 
16.2,1504 
16.3,1671 
16.4,1490 
16.5,1112 
16.6,850 
16.7,921 
16.8,1261 
16.9,1585 
17.0,1627 
17.1,1349 
17.2,970 
17.3,809 
17.4,1008 
17.5,1410 
17.6,1685 
17.7,1621 
17.8,1250 
17.9,857 
18.0,766 
18.1,1059 
18.2,1507 
18.3,1755 
18.4,1630 
18.5,1208 
18.6,808 
18.7,750 
18.8,1081 
18.9,1538 
19.0,1762 
19.1,1609 
19.2,1182 
19.3,812 
19.4,788 
19.5,1123 
19.6,1540 
19.7,1712 
19.8,1526 
19.9,1129 
20.0,840 
20.1,886 
20.2,1218 
20.3,1557 
20.4,1633 
20.5,1393 
20.6,1037 
20.7,859 
20.8,1005 
20.9,1350 
21.0,1603 
21.1,1562 
21.2,1251 
21.3,927 
21.4,860 
21.5,1114 
21.6,1483 
21.7,1663 
21.8,1513 
21.9,1136 
22.0,833 
22.1,856 
22.2,1196 
22.3,1581 
22.4,1706 
22.5,1481 
22.6,1065 
22.7,785 
22.8,866 
22.9,1248 
23.0,1627 
23.1,1709 
23.2,1446 
23.3,1029 
23.4,788 
23.5,910 
23.6,1293 
23.7,1630 
23.8,1659 
23.9,1375 
24.0,996 
24.1,828 
24.2,997 
24.3,1359 
24.4,1616 
24.5,1571 
24.6,1268 
24.7,953 
24.8,886 
24.9,1114 
25.0,1446 
25.1,1605 
25.2,1468 
25.3,1144 
25.4,902 
25.5,945 
25.6,1239 
25.7,1540 
25.8,1599 
25.9,1369 
26.0,1027 
26.1,854 
26.2,999 
26.3,1349 
26.4,1621 
26.5,1595 
26.6,1290 
26.7,938 
26.8,825 
26.9,1047 
27.0,1430 
27.1,1671 
27.2,1580 
27.3,1230 
