time, position 
0.0,1707 
0.1,1707 
0.2,1705 
0.3,1699 
0.4,1691 
0.5,1679 
0.6,1665 
0.7,1649 
0.8,1643 
0.9,1663 
1.0,1679 
1.1,1687 
1.2,1687 
1.3,1687 
1.4,1688 
1.5,1691 
1.6,1693 
1.7,1701 
1.8,1709 
1.9,1719 
2.0,1739 
2.1,1750 
2.2,1752 
2.3,1752 
2.4,1752 
2.5,1735 
2.6,1661 
2.7,1531 
2.8,1412 
2.9,1339 
3.0,1325 
3.1,1341 
3.2,1356 
3.3,1358 
3.4,1354 
3.5,1353 
3.6,1349 
3.7,1327 
3.8,1309 
3.9,1304 
4.0,1319 
4.1,1308 
4.2,1287 
4.3,1286 
4.4,1281 
4.5,1284 
4.6,1287 
4.7,1299 
4.8,1300 
4.9,1299 
5.0,1291 
5.1,1279 
5.2,1264 
5.3,1252 
5.4,1246 
5.5,1238 
5.6,1232 
5.7,1230 
5.8,1234 
5.9,1241 
6.0,1246 
6.1,1244 
6.2,1242 
6.3,1254 
6.4,1280 
6.5,1321 
6.6,1382 
6.7,1456 
6.8,1539 
6.9,1608 
7.0,1660 
7.1,1713 
7.2,1770 
7.3,1835 
7.4,1888 
7.5,1939 
7.6,1969 
7.7,1981 
7.8,1989 
7.9,2003 
8.0,2019 
8.1,2025 
8.2,2025 
8.3,1878 
8.4,1420 
8.5,832 
8.6,482 
8.7,603 
8.8,1116 
8.9,1693 
9.0,2008 
9.1,1994 
9.2,1645 
9.3,1062 
9.4,574 
9.5,502 
9.6,894 
9.7,1492 
9.8,1925 
9.9,2034 
10.0,1804 
10.1,1283 
10.2,723 
10.3,485 
10.4,724 
10.5,1280 
10.6,1796 
10.7,2016 
10.8,1901 
10.9,1467 
11.0,893 
11.1,531 
11.2,615 
11.3,1089 
11.4,1645 
11.5,1958 
11.6,1939 
11.7,1595 
11.8,1045 
11.9,611 
12.0,570 
12.1,947 
12.2,1494 
12.3,1867 
12.4,1925 
12.5,1665 
12.6,1160 
12.7,703 
12.8,577 
12.9,858 
13.0,1361 
13.1,1770 
13.2,1887 
13.3,1699 
13.4,1268 
13.5,820 
13.6,627 
13.7,802 
13.8,1228 
13.9,1639 
14.0,1815 
14.1,1705 
14.2,1350 
14.3,932 
14.4,694 
14.5,774 
14.6,1114 
14.7,1505 
14.8,1727 
14.9,1695 
15.0,1426 
15.1,1055 
15.2,787 
15.3,771 
15.4,1011 
15.5,1364 
15.6,1633 
15.7,1689 
15.8,1517 
15.9,1190 
16.0,882 
16.1,765 
16.2,908 
16.3,1230 
16.4,1553 
16.5,1705 
16.6,1619 
16.7,1321 
16.8,960 
16.9,745 
17.0,809 
17.1,1121 
17.2,1503 
17.3,1738 
17.4,1716 
17.5,1432 
17.6,1019 
17.7,720 
17.8,726 
17.9,1042 
18.0,1478 
18.1,1776 
18.2,1796 
18.3,1523 
18.4,1069 
18.5,705 
18.6,665 
18.7,983 
18.8,1460 
18.9,1802 
19.0,1854 
19.1,1595 
19.2,1117 
19.3,705 
19.4,625 
19.5,935 
19.6,1436 
19.7,1812 
19.8,1888 
19.9,1643 
20.0,1158 
20.1,717 
20.2,606 
20.3,900 
20.4,1404 
20.5,1798 
20.6,1889 
20.7,1661 
20.8,1188 
20.9,747 
21.0,619 
21.1,885 
21.2,1368 
21.3,1758 
21.4,1859 
21.5,1651 
21.6,1206 
