time, position 
0.0,2164 
0.1,2361 
0.2,2559 
0.3,2727 
0.7,1786 
1.0,2255 
1.1,2837 
1.2,2292 
1.4,1003 
1.5,1753 
1.6,2650 
1.7,2638 
1.8,1735 
2.0,1335 
2.1,2275 
2.2,2750 
2.3,2201 
2.5,1095 
2.6,1824 
2.7,2619 
2.8,2543 
2.9,1688 
3.0,1076 
3.1,1422 
3.2,2301 
3.3,2684 
3.4,2121 
3.6,1169 
3.7,1888 
3.8,2600 
3.9,2463 
4.0,1643 
4.1,1119 
4.2,1500 
4.3,2325 
4.4,2626 
4.5,2050 
4.6,1282 
4.7,1238 
4.8,1946 
4.9,2579 
5.0,2389 
5.1,1604 
5.2,1160 
5.3,1572 
5.4,2346 
5.5,2571 
5.6,1985 
5.7,1283 
5.8,1303 
5.9,2000 
6.0,2559 
6.1,2319 
6.2,1566 
6.3,1199 
6.4,1640 
6.5,2365 
6.6,2519 
6.7,1922 
6.8,1285 
6.9,1364 
7.0,2050 
7.1,2539 
7.2,2252 
7.3,1532 
7.4,1237 
7.5,1704 
7.6,2381 
7.7,2469 
7.8,1866 
7.9,1290 
8.0,1422 
8.1,2094 
8.2,2517 
8.3,2190 
8.4,1504 
8.5,1275 
8.6,1764 
8.7,2393 
8.8,2419 
8.9,1813 
9.0,1296 
9.1,1478 
9.2,2136 
9.3,2495 
9.4,2132 
9.5,1478 
9.6,1313 
9.7,1820 
9.8,2403 
9.9,2371 
10.0,1764 
10.1,1305 
10.2,1534 
10.3,2174 
10.4,2471 
10.5,2074 
10.6,1457 
10.7,1350 
10.8,1874 
10.9,2409 
11.0,2323 
11.1,1720 
11.2,1317 
11.3,1588 
11.4,2207 
11.5,2444 
11.6,2019 
11.7,1439 
11.8,1390 
11.9,1924 
12.0,2411 
12.1,2274 
12.2,1678 
12.3,1331 
12.4,1640 
12.5,2237 
12.6,2416 
12.7,1966 
12.8,1423 
12.9,1430 
13.0,1972 
13.1,2409 
13.2,2224 
13.3,1639 
13.4,1349 
13.5,1693 
13.6,2262 
13.7,2385 
13.8,1915 
13.9,1414 
14.0,1474 
14.1,2017 
14.2,2403 
14.3,2176 
14.4,1606 
14.5,1371 
14.6,1744 
14.7,2281 
14.8,2349 
14.9,1868 
15.0,1410 
15.1,1518 
15.2,2057 
15.3,2392 
15.4,2126 
15.5,1577 
15.6,1396 
15.7,1792 
15.8,2297 
15.9,2313 
16.0,1822 
16.1,1410 
16.2,1562 
16.3,2093 
16.4,2377 
16.5,2078 
16.6,1552 
16.7,1424 
16.8,1839 
16.9,2307 
17.0,2274 
17.1,1782 
17.2,1415 
17.3,1606 
17.4,2125 
17.5,2360 
17.6,2031 
17.7,1533 
17.8,1455 
17.9,1884 
18.0,2313 
18.1,2234 
18.2,1742 
18.3,1422 
18.4,1651 
18.5,2154 
18.6,2338 
18.7,1986 
18.8,1517 
18.9,1487 
19.0,1926 
19.1,2315 
19.2,2194 
