time, position 
0.0,1111 
0.1,1380 
0.2,1613 
0.3,1631 
0.4,1384 
0.5,999 
0.6,743 
0.7,817 
0.8,1206 
0.9,1655 
1.0,1863 
1.1,1721 
1.2,1268 
1.3,778 
1.4,603 
1.5,882 
1.6,1424 
1.7,1848 
1.8,1913 
1.9,1605 
2.0,1077 
2.1,679 
2.2,685 
2.3,1079 
2.4,1573 
2.5,1826 
2.6,1722 
2.7,1337 
2.8,926 
2.9,764 
3.0,934 
3.1,1288 
3.2,1571 
3.3,1621 
3.4,1440 
3.5,1182 
3.6,1015 
3.7,1016 
3.8,1140 
3.9,1279 
4.0,1355 
4.1,1361 
4.2,1339 
4.3,1315 
4.4,1274 
4.5,1193 
4.6,1095 
4.7,1049 
4.8,1121 
4.9,1309 
5.0,1507 
5.1,1569 
5.2,1414 
5.3,1109 
5.4,855 
5.5,849 
5.6,1128 
5.7,1522 
5.8,1762 
5.9,1683 
6.0,1309 
6.1,867 
6.2,673 
6.3,881 
6.4,1353 
6.5,1760 
6.6,1853 
6.7,1587 
6.8,1101 
6.9,722 
7.0,715 
7.1,1077 
7.2,1544 
7.3,1793 
7.4,1701 
7.5,1329 
7.6,930 
7.7,774 
7.8,945 
7.9,1297 
8.0,1580 
8.1,1625 
8.2,1432 
8.3,1160 
8.4,989 
8.5,1003 
8.6,1153 
8.7,1317 
8.8,1398 
8.9,1383 
9.0,1323 
9.1,1265 
9.2,1218 
9.3,1168 
9.4,1119 
9.5,1112 
9.6,1187 
9.7,1337 
9.8,1476 
9.9,1494 
10.0,1337 
10.1,1081 
10.2,896 
10.3,935 
10.4,1206 
10.5,1540 
10.6,1706 
10.7,1573 
10.8,1204 
10.9,837 
11.0,741 
11.1,1001 
11.2,1446 
11.3,1765 
11.4,1763 
11.5,1431 
11.6,968 
11.7,699 
11.8,814 
11.9,1226 
12.0,1642 
12.1,1786 
12.2,1597 
12.3,1190 
12.4,844 
12.5,789 
12.6,1043 
12.7,1408 
12.8,1633 
12.9,1593 
13.0,1343 
13.1,1067 
13.2,943 
13.3,1023 
13.4,1220 
13.5,1386 
13.6,1436 
13.7,1375 
13.8,1275 
13.9,1198 
14.0,1161 
14.1,1147 
14.2,1149 
14.3,1182 
14.4,1265 
14.5,1377 
14.6,1448 
14.7,1401 
14.8,1228 
14.9,1023 
15.0,936 
15.1,1057 
15.2,1335 
15.3,1590 
15.4,1634 
15.5,1413 
15.6,1051 
15.7,797 
15.8,847 
15.9,1185 
16.0,1583 
16.1,1766 
16.2,1625 
16.3,1224 
16.4,832 
16.5,725 
16.6,985 
16.7,1422 
16.8,1731 
16.9,1727 
17.0,1420 
17.1,1008 
17.2,776 
17.3,874 
17.4,1214 
17.5,1549 
17.6,1659 
17.7,1500 
17.8,1198 
17.9,963 
18.0,937 
18.1,1106 
18.2,1330 
18.3,1460 
18.4,1442 
18.5,1323 
18.6,1199 
18.7,1134 
18.8,1134 
18.9,1166 
19.0,1208 
19.1,1260 
19.2,1327 
19.3,1388 
19.4,1388 
19.5,1291 
19.6,1129 
19.7,1003 
19.8,1021 
19.9,1208 
20.0,1456 
20.1,1595 
20.2,1507 
20.3,1222 
20.4,923 
20.5,827 
20.6,1025 
20.7,1395 
20.8,1682 
20.9,1691 
21.0,1404 
21.1,997 
21.2,755 
21.3,855 
21.4,1230 
21.5,1615 
21.6,1750 
21.7,1567 
21.8,1174 
21.9,843 
22.0,800 
22.1,1061 
22.2,1432 
22.3,1654 
22.4,1599 
22.5,1325 
22.6,1028 
22.7,904 
22.8,1013 
22.9,1254 
23.0,1452 
23.1,1492 
23.2,1384 
23.3,1224 
23.4,1116 
23.5,1103 
23.6,1158 
23.7,1228 
23.8,1281 
23.9,1321 
24.0,1351 
24.1,1354 
24.2,1299 
24.3,1186 
24.4,1071 
24.5,1043 
24.6,1154 
24.7,1359 
24.8,1525 
24.9,1522 
25.0,1321 
25.1,1039 
25.2,872 
25.3,957 
25.4,1258 
25.5,1575 
25.6,1685 
25.7,1504 
25.8,1135 
25.9,830 
26.0,810 
26.1,1097 
26.2,1492 
26.3,1719 
26.4,1641 
26.5,1302 
26.6,931 
26.7,787 
26.8,961 
26.9,1321 
27.0,1611 
27.1,1647 
27.2,1422 
27.3,1101 
27.4,905 
27.5,950 
27.6,1179 
27.7,1420 
27.8,1519 
27.9,1438 
28.0,1259 
28.1,1109 
28.2,1071 
28.3,1132 
28.4,1231 
28.5,1305 
28.6,1335 
28.7,1337 
28.8,1321 
28.9,1279 
29.0,1204 
29.1,1118 
29.2,1081 
29.3,1147 
29.4,1303 
29.5,1460 
29.6,1498 
29.7,1365 
29.8,1122 
29.9,933 
30.0,946 
30.1,1178 
30.2,1481 
30.3,1645 
30.4,1546 
30.5,1232 
30.6,910 
30.7,812 
30.8,1019 
30.9,1390 
31.0,1667 
31.1,1667 
31.2,1389 
31.3,1013 
31.4,804 
31.5,904 
31.6,1235 
31.7,1560 
31.8,1661 
31.9,1490 
32.0,1169 
32.1,925 
32.2,911 
32.3,1119 
32.4,1385 
32.5,1531 
32.6,1480 
32.7,1296 
32.8,1113 
32.9,1045 
33.0,1104 
33.1,1226 
33.2,1325 
33.3,1360 
33.4,1341 
33.5,1299 
33.6,1253 
33.7,1200 
33.8,1145 
33.9,1120 
34.0,1162 
34.1,1279 
34.2,1409 
34.3,1462 
34.4,1373 
34.5,1174 
34.6,991 
34.7,965 
34.8,1138 
34.9,1411 
35.0,1596 
35.1,1554 
35.2,1293 
35.3,979 
35.4,839 
35.5,980 
35.6,1317 
35.7,1613 
35.8,1667 
35.9,1442 
36.0,1079 
36.1,835 
36.2,877 
36.3,1174 
36.4,1512 
36.5,1659 
36.6,1532 
36.7,1222 
36.8,948 
36.9,892 
37.0,1075 
37.1,1352 
37.2,1533 
37.3,1512 
37.4,1329 
37.5,1121 
37.6,1023 
37.7,1075 
37.8,1216 
37.9,1341 
38.0,1384 
38.1,1351 
38.2,1285 
38.3,1226 
38.4,1184 
38.5,1158 
38.6,1152 
38.7,1188 
38.8,1274 
38.9,1375 
39.0,1423 
39.1,1361 
39.2,1202 
39.3,1039 
39.4,994 
39.5,1125 
39.6,1363 
39.7,1548 
39.8,1540 
39.9,1323 
40.0,1033 
40.1,873 
40.2,969 
40.3,1267 
40.4,1563 
40.5,1651 
40.6,1468 
40.7,1127 
40.8,867 
40.9,871 
41.0,1135 
41.1,1472 
41.2,1647 
41.3,1554 
41.4,1260 
41.5,971 
41.6,884 
41.7,1045 
41.8,1327 
41.9,1531 
42.0,1533 
42.1,1354 
42.2,1129 
42.3,1009 
42.4,1053 
42.5,1205 
42.6,1352 
42.7,1408 
42.8,1365 
42.9,1276 
43.0,1200 
43.1,1162 
43.2,1160 
43.3,1178 
43.4,1218 
43.5,1281 
43.6,1352 
43.7,1388 
43.8,1341 
43.9,1214 
44.0,1075 
44.1,1029 
44.2,1129 
44.3,1333 
44.4,1506 
44.5,1518 
44.6,1337 
44.7,1073 
44.8,909 
44.9,973 
45.0,1237 
45.1,1522 
45.2,1629 
45.3,1477 
45.4,1161 
45.5,898 
45.6,875 
45.7,1111 
45.8,1440 
45.9,1631 
46.0,1565 
46.1,1286 
46.2,991 
46.3,884 
46.4,1027 
46.5,1308 
46.6,1528 
46.7,1548 
46.8,1373 
46.9,1136 
47.0,999 
47.1,1035 
47.2,1198 
47.3,1363 
47.4,1430 
47.5,1380 
47.6,1270 
47.7,1176 
47.8,1143 
47.9,1160 
48.0,1202 
48.1,1248 
48.2,1293 
48.3,1339 
48.4,1355 
48.5,1317 
48.6,1216 
48.7,1105 
48.8,1064 
48.9,1144 
49.0,1316 
49.1,1470 
49.2,1490 
49.3,1339 
49.4,1103 
49.5,944 
49.6,989 
49.7,1222 
49.8,1490 
49.9,1604 
50.0,1477 
50.1,1185 
50.2,927 
50.3,888 
50.4,1100 
50.5,1416 
50.6,1615 
50.7,1565 
50.8,1302 
50.9,1008 
51.0,887 
51.1,1016 
51.2,1293 
51.3,1524 
51.4,1556 
51.5,1386 
51.6,1141 
51.7,990 
51.8,1021 
51.9,1191 
52.0,1372 
52.1,1448 
52.2,1393 
52.3,1266 
52.4,1158 
52.5,1123 
52.6,1158 
52.7,1220 
52.8,1275 
52.9,1310 
53.0,1329 
53.1,1328 
53.2,1290 
53.3,1212 
53.4,1128 
53.5,1097 
53.6,1164 
53.7,1309 
53.8,1442 
53.9,1462 
54.0,1333 
54.1,1123 
54.2,976 
54.3,1008 
54.4,1216 
54.5,1464 
54.6,1578 
